Name,ISO,UN_Region,UN_Subregion,WB_Income_Group,HDI_Group,UNFCCC,G7,G20,G77,LDC,SIDS,AOSIS,BASIC,BRICS,EU27,ETS,OPEC,Arab_States,Cartagena,Umbrella,MAC_MIT,MAC_McKinsey,MAC_GCAM,RCP_IIASA
"Congo, Democratic Republic",COD,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Denmark,DNK,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,EUR,rEUR,EU12,OECD90
Djibouti,DJI,Africa,Sub-Saharan Africa,LMC,Lo HDI,Non-Annex 1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,MES,MESm,AFRE,MAF
Dominica,DMA,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Dominican Republic,DOM,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,ROW,rLAM,CAC,LAMi
Ecuador,ECU,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAM,rLAM,SAN,LAMi
Egypt,EGY,Africa,Northern Africa,LMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,MES,MESm,AFRN,MAF
El Salvador,SLV,Americas,Latin America and the Caribbean,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAM,rLAM,CAC,LAMi
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,UMC,Med HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,AFR,rAFR,AFRW,MAF
Eritrea,ERI,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Estonia,EST,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,FSU,rEUR,EEUR,REF
Eswatini,SWZ,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRS,MAF
Ethiopia,ETH,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,AFR,rAFR,AFRE,MAF
Faeroe Islands,FRO,Europe,Northern Europe,HIC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,rEUR,EnEU,OECD90
Fiji,FJI,Oceania,Melanesia,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rOECDP,ANZg,OECD90
Finland,FIN,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EU15,OECD90
France,FRA,Europe,Western Europe,HIC,VHi HDI,Annex 1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,EUR,FRA,EU12,OECD90
French Polynesia,PYF,Oceania,Polynesia,HIC,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,ROW,rOECDP,ANZg,OECD90
Gabon,GAB,Africa,Sub-Saharan Africa,UMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,AFR,rAFR,AFRW,MAF
Gambia,GMB,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Georgia,GEO,Asia,Western Asia,UMC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rdASI,CASI,REF
Germany,DEU,Europe,Western Europe,HIC,VHi HDI,Annex 1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,EUR,DEU,EU12,OECD90
Ghana,GHA,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,AFR,rAFR,AFRW,MAF
Greece,GRC,Europe,Southern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EU12,OECD90
Greenland,GRL,Americas,Northern America,HIC,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EUR,rEUR,EU12,OECD90
Grenada,GRD,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,LAM,rLAM,CAC,LAMi
Guatemala,GTM,Americas,Latin America and the Caribbean,UMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,LAM,rLAM,CAC,LAMi
Guinea,GIN,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Guinea-Bissau,GNB,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
Guyana,GUY,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,LAM,rLAM,SAN,LAMi
Haiti,HTI,Americas,Latin America and the Caribbean,LMC,Lo HDI,Non-Annex 1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Honduras,HND,Americas,Latin America and the Caribbean,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAM,rLAM,CAC,LAMi
Hong Kong,HKG,Asia,Eastern Asia,HIC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,CHN,CHNm,CHNg,ASIA
Hungary,HUN,Europe,Eastern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
Iceland,ISL,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,ROW,rOECDE,EFTA,OECD90
India,IND,Asia,Southern Asia,LMC,Med HDI,Non-Annex 1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,IND,INDm,INDg,ASIA
Indonesia,IDN,Asia,South-eastern Asia,LMC,Hi HDI,Non-Annex 1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,IDZ,rdASI,IDZg,ASIA
Iran,IRN,Asia,Southern Asia,LMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,MES,MESm,MESg,MAF
Iraq,IRQ,Asia,Western Asia,UMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,MES,MESm,MESg,MAF
Ireland,IRL,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EU12,OECD90
Israel,ISR,Asia,Western Asia,HIC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MES,MESm,MESg,MAF
Italy,ITA,Europe,Southern Europe,HIC,VHi HDI,Annex 1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,EUR,ITA,EU12,OECD90
Jamaica,JAM,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,ROW,rLAM,CAC,LAMi
Japan,JPN,Asia,Eastern Asia,HIC,VHi HDI,Annex 1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,JPN,JPNm,JPNg,OECD90
Jordan,JOR,Asia,Western Asia,UMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,MES,MESm,MESg,MAF
Kazakhstan,KAZ,Asia,Central Asia,UMC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rdASI,CASI,REF
Kenya,KEN,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRE,MAF
Kiribati,KIR,Oceania,Micronesia,LMC,Med HDI,Non-Annex 1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,ROW,rdASI,ANZg,ASIA
"Korea, North",PRK,Asia,Eastern Asia,LIC,,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SEASI,ASIA
"Korea, South",KOR,Asia,Eastern Asia,HIC,VHi HDI,Non-Annex 1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ASI,rOECDP,KORg,ASIA
Kuwait,KWT,Asia,Western Asia,HIC,VHi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,MES,MESm,MESg,MAF
Kyrgyz Republic,KGZ,Asia,Central Asia,LMC,Med HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FSU,rdASI,CASI,REF
Lao People's Democratic Republic,LAO,Asia,South-eastern Asia,LMC,Med HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,SEASI,ASIA
Latvia,LVA,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
Lebanon,LBN,Asia,Western Asia,LMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,MES,MESm,MESg,MAF
Liberia,LBR,Africa,Sub-Saharan Africa,LIC,Lo HDI,Non-Annex 1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,AFR,rAFR,AFRW,MAF
